Company,6/30/2014,5/30/2014,4/30/2014,3/31/2014,2/28/2014,1/31/2014,12/31/2013,11/29/2013,10/31/2013,9/30/2013,8/30/2013,7/31/2013,6/28/2013,5/31/2013,4/30/2013,3/28/2013,2/28/2013,1/31/2013,12/31/2012,11/30/2012,10/31/2012,9/28/2012,8/31/2012,7/31/2012,6/29/2012,5/31/2012,4/30/2012,3/30/2012,2/29/2012,1/31/2012,12/30/2011,11/30/2011,10/31/2011,9/30/2011,8/31/2011,7/29/2011,6/30/2011,5/31/2011,4/29/2011,3/31/2011,2/28/2011,1/31/2011,12/31/2010,11/30/2010,10/29/2010,9/30/2010,8/31/2010,7/30/2010,6/30/2010,5/28/2010,4/30/2010,3/31/2010,2/26/2010,1/29/2010,12/31/2009,11/30/2009,10/30/2009,9/30/2009,8/31/2009,7/31/2009,6/30/2009,5/29/2009,4/30/2009,3/31/2009,2/27/2009,1/30/2009,12/31/2008,11/28/2008,10/31/2008,9/30/2008,8/29/2008,7/31/2008,6/30/2008,5/30/2008,4/30/2008,3/31/2008,2/29/2008,1/31/2008,12/31/2007,11/30/2007,10/31/2007,9/28/2007,8/31/2007,7/31/2007,6/29/2007,5/31/2007,4/30/2007,3/30/2007,2/28/2007,1/31/2007,12/29/2006,11/30/2006,10/31/2006,9/29/2006,8/31/2006,7/31/2006,6/30/2006,5/31/2006,4/28/2006,3/31/2006,2/28/2006,1/31/2006,12/30/2005,11/30/2005,10/31/2005,9/30/2005,8/31/2005,7/29/2005,6/30/2005,5/31/2005,4/29/2005,3/31/2005,2/28/2005,1/31/2005,12/31/2004,11/30/2004,10/29/2004,9/30/2004,8/31/2004,7/30/2004,6/30/2004,5/28/2004,4/30/2004,3/31/2004,2/27/2004,1/30/2004,12/31/2003,11/28/2003,10/31/2003,9/30/2003,8/29/2003,7/31/2003,6/30/2003,5/30/2003,4/30/2003,3/31/2003,2/28/2003,1/31/2003,12/31/2002,11/29/2002,10/31/2002,9/30/2002,8/30/2002,7/31/2002,6/28/2002,5/31/2002,4/30/2002,3/28/2002,2/28/2002,1/31/2002,12/31/2001,11/30/2001,10/31/2001,9/28/2001,8/31/2001,7/31/2001,6/29/2001,5/31/2001,4/30/2001,3/30/2001,2/28/2001,1/31/2001,12/29/2000,11/30/2000,10/31/2000,9/29/2000,8/31/2000,7/31/2000,6/30/2000,5/31/2000,4/28/2000,3/31/2000,2/29/2000,1/31/2000,12/31/1999,11/30/1999,10/29/1999,9/30/1999,8/31/1999,7/30/1999,6/30/1999,5/28/1999,4/30/1999,3/31/1999,2/26/1999,1/29/1999,12/31/1998,11/30/1998,10/30/1998,9/30/1998,8/31/1998,7/31/1998,6/30/1998,5/29/1998,4/30/1998,3/31/1998,2/27/1998,1/30/1998,12/31/1997,11/28/1997,10/31/1997,9/30/1997,8/29/1997,7/31/1997,6/30/1997,5/30/1997,4/30/1997,3/31/1997,2/28/1997,1/31/1997,12/31/1996,11/29/1996,10/31/1996,9/30/1996,8/30/1996,7/31/1996,6/28/1996,5/31/1996,4/30/1996,3/29/1996,2/29/1996,1/31/1996,12/29/1995,11/30/1995,10/31/1995,9/29/1995,8/31/1995,7/31/1995,6/30/1995,5/31/1995,4/28/1995,3/31/1995,2/28/1995,1/31/1995,12/30/1994,11/30/1994,10/31/1994,9/30/1994,8/31/1994,7/29/1994,6/30/1994,5/31/1994,4/29/1994,3/31/1994,2/28/1994,1/31/1994,12/31/1993,11/30/1993,10/29/1993,9/30/1993,8/31/1993,7/30/1993,6/30/1993,5/28/1993,4/30/1993,3/31/1993,2/26/1993,1/29/1993,12/31/1992,11/30/1992,10/30/1992,9/30/1992,8/31/1992,7/31/1992,6/30/1992,5/29/1992,4/30/1992,3/31/1992,2/28/1992,1/31/1992,12/31/1991,11/29/1991,10/31/1991,9/30/1991,8/30/1991,7/31/1991,6/28/1991,5/31/1991,4/30/1991,3/28/1991,2/28/1991,1/31/1991,12/31/1990,11/30/1990,10/31/1990,9/28/1990,8/31/1990,7/31/1990,6/29/1990,5/31/1990,4/30/1990,3/30/1990
AON UN Equity,26820.9238,26666.7461,25166.4822,25376.742,25774.1945,24222.3249,25254.9196,24577.5616,23809.8891,22887.4149,20409.2773,20753.6339,19892.2802,19682.0723,18803.4673,19161.7769,19034.0317,18399.855,17717.9068,18100.3077,17192.1056,16858.6356,16752.2414,16059.6184,15269.6941,15178.2979,16844.2825,15953.2915,15221.6383,15656.9056,15129.9438,14861.6136,15230.3804,13714.5296,15266.3165,15905.6234,16956.7478,17237.7076,17377.216,17640.3557,17533.7674,14645.7057,14732.1582,12846.2115,12727.7394,10548.174,9774.1198,10149.0105,10000.8301,10633.9646,11330.5148,11397.2276,11214.3915,10655.5894,10502.1928,10609.0226,10570.2828,11168.6525,11462.3477,10919.8907,10482.5415,9964.9193,11665.4255,11165.8297,10316.4747,9995.4338,12323.6549,12221.1376,11745.4493,12484.052,13186.5576,13681.6556,13723.4773,14096.8849,13867.803,12282.1256,12712.9166,12697.3173,13913.949,14579.1577,13268.6305,13119.3145,12683.0775,11756.1719,12510.7514,12601.7707,11390.1242,11326.3382,11659.2978,11104.9779,10943.9464,11049.2362,10940.4326,10651.1196,10871.249,10907.5982,11095.6053,11360.0899,13493.1795,13364.3971,12675.5965,10950.7425,11504.3599,11651.5645,10782.1496,10218.3562,9530.3372,8085.2416,7958.1152,7923.1554,6619.1452,7250.9005,7756.3222,7196.1961,7550.6262,6683.5383,6446.3741,9077.3538,8196.1493,8331.5112,8971.1848,8706.4923,8201.5977,8783.8293,8225.9379,7705.3486,7507.7756,6880.5596,6851.3911,6522.8997,6945.2457,7507.8569,7517.2222,8010.4619,6903.241,6442.1942,6024.9313,5863.8535,5851.4629,5650.1155,4999.6524,5588.8095,5389.6962,6460.2138,8018.8254,9093.261,9698.2264,9500.0818,9323.0094,8964.9498,9562.6131,9646.0706,10137.1272,11192.4117,9899.9546,9282.9722,9165.1347,9165.1347,8686.908,9240.6496,8776.3757,9001.7393,8771.2538,7954.951,10566.9766,10009.1423,9515.0604,9211.032,7947.7134,8987.1527,6930.7064,8259.2252,5373.2744,6640.4048,10265.3601,9158.626,9093.8925,7572.9069,8549.5398,9589.7468,10566.332,11014.6006,11679.25,10784.125,10023.9723,8631.4586,9418.0694,9800.7449,10469.128,10891.2702,10564.11,11468.2681,11847.7328,10804.2048,10836,10878,10031.0945,9360.2585,9831.9401,8878.0952,9019.051,8841.3872,8517.4121,9346.4279,8637.1007,8136.3993,7374.8501,6792.6251,6863.5127,6998.8877,6728.1377,6592.7627,6254.3252,5875.2752,5469.1502,5266.0876,5496.2252,5455.6127,5807.5877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTI UN Equity,941.6163,910.045,986.3114,1009.9829,946.1355,813.6766,974.5196,972.9427,1021.0526,986.414,925.0091,792.0911,803.0489,814.7896,713.966,802.332,720.695,663.6953,592.6409,546.5726,417.4889,472.1136,500.2063,537.5768,553.0912,495.6877,675.1669,730.2035,704.6231,721.7363,721.7363,709.3725,733.2091,595.8288,791.094,988.6824,977.9275,1044.809,1131.3658,1179.6231,1052.0569,864.6521,904.2661,837.9888,742.94,776.4332,638.6544,788.5616,687.1535,761.3176,928.7197,923.43,760.3263,788.9894,835.7555,781.4465,712.6889,730.0165,664.4732,580.2207,599.0346,654.7237,430.4878,244.5953,214.5698,389.3766,364.6186,361.6176,520.5941,1035.9523,1656.0276,1411.9356,1768.4624,1605.1165,1210.7358,1179.3909,1279.1626,1162.9656,1157.0207,1174.8553,1460.6712,1568.2371,1482.9262,2019.3259,2047.6444,2028.0393,1921.2269,1792.1297,1598.0236,1664.8775,1838.8414,1857.5317,1860.6275,1735.6278,1997.8397,2043.3576,2163.345,2074.0687,1721.3898,1645.8166,1304.6786,1376.8523,1059.0104,1016.6777,953.6707,1064.4833,971.7417,901.369,720.0553,623.9725,610.878,641.5837,701.1061,624.748,633.7049,680.729,667.3776,692.12,602.958,587.8843,599.0396,531.2154,532.49,581.1051,545.4171,526.1413,530.9602,490.6563,491.5663,448.2994,489.1725,473.9007,427.7368,425.8614,383.705,326.0227,307.4536,283.7815,302.9176,299.7991,297.1375,287.1617,292.2921,279.4968,374.7798,348.6652,403.781,409.0821,348.6703,298.5384,295.0179,284.8789,239.1821,244.8033,322.6931,340.547,340.6863,390.152,381.9201,275.805,281.934,250.608,211.11,183.8714,195.9227,206.1005,184.8967,188.2074,192.4463,175.4907,191.4516,179.6958,121.716,109.8825,98.049,104.811,112.4183,137.7656,140.3011,114.9285,124.2242,114.9285,126.7594,91.2667,90.1596,125.0327,148.8484,171.8136,164.1586,163.308,172.6642,179.8158,223.9215,296.0174,322.7014,333.6547,325.1326,288.0709,283.8593,315.8672,304.1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRDX UW Equity,286.0296,291.0596,294.1699,305.5257,336.619,334.8794,335.0167,344.2677,336.5602,339.4148,282.6078,293.4921,290.1569,344.2442,387.8602,399.5913,371.8765,353.496,327.8379,353.3402,315.4447,354.7437,327.0239,279.6386,303.4974,244.3768,259.353,269.5237,249.0069,252.7466,256.9532,217.305,184.7093,159.4739,186.8122,192.6848,194.4365,255.0446,268.6187,218.6025,228.0461,206.1118,207.3345,161.0333,208.2116,207.5153,209.4303,228.4166,285.6948,296.1407,324.4044,365.2166,335.9156,349.436,395.911,390.573,447.5424,429.8924,400.0096,390.6203,395.3371,345.374,378.0531,317.9479,304.3589,350.3386,446.4476,410.9868,478.9424,569.1282,704.3165,769.3884,819.6573,819.6573,812.6092,765.2816,807.1272,797.8472,991.7354,929.2773,1021.0533,881.9497,868.2732,823.8069,897.98,673.8442,747.3238,662.1624,680.7397,661.4123,572.3901,633.9155,654.9334,659.0619,656.4347,669.0541,675.7914,728.1929,659.7589,656.0482,719.1298,683.9691,686.0091,725.4516,731.1872,715.8308,687.1531,710.7649,793.2546,721.0076,657.0583,581.2789,585.6508,517.0824,572.3646,527.4814,470.5274,416.2021,419.1812,418.8368,431.4439,390.4708,391.0412,347.8834,367.1035,362.7929,417.4852,369.1476,366.3577,468.0171,585.1958,652.1411,529.843,678.7202,629.1326,535.1263,485.6128,518.955,496.121,553.9027,589.5661,544.9438,459.1449,449.7161,442.42,578.0909,687.9493,737.5114,598.8051,632.6852,611.8754,541.9264,599.368,669.0346,780.4009,811.4802,984.018,907.7281,922.4971,600.6492,518.0078,465.3236,576.7562,345.662,411.2693,428.8951,356.4334,347.8476,203.2368,186.6261,197.523,213.015,240.126,217.5815,231.06,156.8511,134.1794,110.1196,112.8957,123.2381,119.5866,115.0222,99.6187,101.43,80.1478,86.568,111.817,65.6909,58.0419,55.3423,52.1927,85.69,84.788,79.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKRX UW Equity,2981.5096,2906.6861,2437.6008,2126.3638,2487.9427,2187.3083,2373.2777,2481.1977,1966.4569,1893.3401,1728.8273,1363.5232,1299.1426,1396.1935,1443.6141,1326.5902,1317.014,1249.2546,1275.0223,1287.4289,1142.1018,1257.1678,1316.1273,1299.961,1499.6624,1298.0591,1152.6144,1111.755,1188.3026,1086.8275,1054.583,1018.8666,850.8298,739.1525,760.9201,655.2287,661.8472,643.8828,623.5312,543.4705,524.4711,469.1155,569.5062,498.2006,419.0182,378.71,320.5911,335.9432,274.1075,266.7242,189.9532,138.3945,137.3893,143.7164,161.794,146.4281,130.9251,123.7017,118.2841,121.81,108.2755,97.448,75.7046,77.5071,125.0378,199.1673,205.4192,146.4728,277.5342,457.7976,432.8106,457.7109,295.3261,423.8064,401.0922,421.5215,558.0429,658.0695,644.0307,670.3535,646.4002,656.0348,665.6695,588.7399,606.9753,608.712,625.3536,583.0299,479.0936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5933,36.5933,36.5933,40.507,36.1581,72.3881,77.6488,71.0487,77.6488,77.6488,84.5804,67.7802,73.3803,74.3458,58.0948,49.0235,57.6463,39.0579,53.4793,99.7478,126.187,91.3354,87.9629,210.3977,193.4077,149.5053,150.6919,151.8784,129.3913,177.1845,174.9235,96.6683,89.7634,86.3109,70.6839,80.9444,76.3842,81.747,73.2317,81.747,73.6206,75.3196,76.8697,90.435,88.1741,106.2611,85.7135,73.9489,75.0693,103.0803,133.695,144.8363,137.7344,107.9837,81.0274,65.4452,60.2511,64.9258,61.7684,49.3109,42.0441,36.8268,35.7894,38.3829,37.8505,47.702,35.568,31.824,29.016,29.718,31.8006,36.3748,33.5768,39.1729,50.3651,40.1056,45.6466,40.0572,40.0572,38.1941,38.1941,36.3309,40.0572,36.3309,38.1428,36.2822,35.3519,37.2125,38.9392,45.8927,50.0647,46.3562,48.1553,45.3771,54.6377,44.394,44.505,36.1603,42.6506,43.5778,44.505,41.6812,52.7962,41.3533,40.573,42.1335,38.343,27.1596,35.101,25.528,25.528,25.528,23.9149,25.5092,28.6978,29.4289,25.452,27.0427,30.1575,30.1575,31.7375,31.7375,25.8905,25.1713,28.7672,31.6415,38.8327,43.1475,45.0624,34.1852,29.5236,22.8256,22.8256,28.532,25.6748,31.3803,29.9539,24.9616,24.2484,21.0353,22.818,27.0964,13.9962,13.9962,16.1336,18.238,18.5888,19.641,18.9371,16.1316
SIRO UW Equity,4466.5343,4336.2506,4158.4459,4128.0398,3895.2951,3967.7529,3861.3979,3783.2899,3976.0318,3683.2638,3564.3956,3878.6074,3619.3011,3897.2876,4178.9913,4189.7883,4035.7896,3654.3611,3543.8561,3442.1475,3154.3846,3137.858,2927.4188,2403.8561,2502.8351,2378.8333,2814.7556,2872.1541,2780.7623,2700.9181,2457.5642,2479.8854,2692.3537,2383.7729,2622.656,2820.3965,2960.9145,3014.4451,3163.8752,2780.7951,2797.4267,2428.7476,2310.6679,2089.9986,2080.155,1991.2029,1741.4737,1700.3241,1924.6034,1954.4336,2297.2274,2095.5519,1977.6323,1770.6882,1779.83,1744.3995,1478.5699,1634.6137,1452.7458,1428.0205,1096.5774,1079.0234,897.1579,785.2873,611.4493,658.9407,576.093,656.758,875.4946,1276.2376,1507.0348,1360.1658,1420.4471,1625.4036,1466.4097,1477.3653,1424.7784,1513.215,1833.6026,1481.6947,1841.9885,1953.143,1596.1345,1935.3766,2070.5684,1896.5158,1804.7953,1884.0729,2034.9737,2339.0253,2103.5933,2017.9495,2020.1335,1797.9188,1660.8773,1798.2351,2133.7549,689.8755,630.5701,817.4967,705.4867,627.4154,532.9635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0041,22.0041,21.3754,23.2614,30.8057,43.3493,31.4125,41.4645,47.747,66.2235,101.2095,149.94,189.867,173.6284,144.8985,187.35,154.2515,184.0616,214.6345,254.5665,233.3526,264.205,193.7919,262.9588,171.0755,149.1937,210.8605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASY UW Equity,2833.8741,2741.5029,2642.5886,2601.4064,2635.5187,2642.4451,2703.2441,2858.2868,2799.1392,2822.9519,2532.4923,2542.3782,2309.3684,2328.9309,2219.6904,2234.6391,2167.8496,2096.5968,2034.1547,1892.2028,1974.5557,2188.6734,2157.7387,2267.6289,2250.8401,2156.4874,2145.8249,2111.9334,1949.9008,1938.8629,1960.5581,2031.237,1885.4964,1660.9872,1711.989,1711.5165,1673.4828,1573.0482,1481.208,1480.0695,1557.8385,1611.701,1612.4596,1504.2687,1569.1781,1580.154,1916.3328,1948.4245,1776.9684,1877.2729,1966.8851,1598.7624,1548.2856,1562.0323,1625.1653,1556.3549,1604.1802,1596.5485,1411.8617,1395.0596,1306.5651,1282.3476,1352.4879,1355.0292,1011.9317,1080.0376,1157.292,1505.4966,1533.4231,1531.8999,1472.3938,1248.9346,1176.3339,1110.0463,1122.2168,1146.0505,1269.559,1317.706,1500.6644,1468.9805,1443.6532,1403.1296,1436.4199,1261.7996,1377.2761,1364.6452,1270.6711,1263.5978,1261.9621,1287.6959,1188.293,1254.6103,1223.3585,1122.5461,1191.6026,1140.6131,1259.5336,1127.5872,1077.226,1151.7606,1320.0615,1280.8069,1248.0947,1157.2706,1084.8784,1166.3197,1017.9554,1093.5314,994.4427,905.1335,846.932,901.6214,904.3795,883.3241,909.894,969.6409,891.0484,930.5949,826.3486,809.7589,914.8609,816.3759,827.8742,829.8739,852.6949,830.2556,880.6194,870.4602,772.303,699.0588,771.7946,762.8318,702.0538,690.6343,642.9701,590.8374,548.6292,565.5101,606.2228,602.1162,580.7716,573.3258,601.4683,568.2188,597.3694,590.4232,645.9925,669.8079,597.984,749.5841,738.1892,688.2557,616.4593,588.731,631.1671,668.2945,643.4064,532.5425,596.8832,590.8203,609.2077,593.7456,739.0896,581.2349,618.335,643.0684,562.5825,584.2203,522.6396,595.0535,588.7578,547.8281,441.6891,543.8709,550.4633,672.3713,678.9631,706.9786,705.023,810.447,790.605,708.2503,698.3678,777.4283,678.461,711.396,686.6947,730.1996,736.778,789.405,680.5125,802.15,870.525,745.695,860.67,840.96,791.3536,738.8156,666.5759,618.8219,633.5949,646.7264,596.9827,593.7026,564.7862,524.62,495.1101,504.9468,504.8313,462.2156,491.7188,452.3813,472.05,458.9375,514.6068,442.4963,519.3139,617.2976,563.4066,614.0315,587.835,600.898,571.5062,607.1273,600.599,590.8066,522.5859,522.5859,466.83,440.895,447.3787,411.7181,408.4762,382.4675,388.95,353.2281,341.8859,312.7203,291.6562,272.4155,252.9573,239.0585,269.6358,269.6358,258.3075,277.75,272.195,248.5862,235.7263,237.1129,226.0199,211.9528,205.0263,184.2466,181.4759,192.5584,184.2382,188.394,185.6235,210.463,186.9244,182.7705,152.3087,160.2395,165.765,171.2905,179.5787,185.1042,190.4918,178.0684,150.4609,170.5155,178.7663,163.6399,127.8866,107.2598,110.01,110.01,103.1344,101.7593,96.2588,82.5075,56.3801,71.4688,60.0338,77.1863,78.6156,91.3492,97.2427,97.2427,107.5564,107.5564
BKMU UW Equity,292.8076,282.1008,280.2387,295.1351,307.3817,317.5968,325.4903,321.7757,295.3093,291.1304,275.8078,288.2687,261.8093,264.5946,240.4561,256.7032,264.9876,237.6549,199.2039,192.255,208.9325,210.7856,201.9835,197.3509,204.2999,159.3632,180.6733,187.1591,181.68,185.3783,147.0082,156.254,153.9426,120.6577,147.0082,170.6222,168.7826,187.6384,187.2377,193.6469,211.353,202.661,218.6726,209.5231,220.3208,237.2334,232.6624,267.4189,258.323,291.9778,323.7806,295.5862,301.3008,310.1217,321.2638,325.4421,326.974,411.7451,409.4162,461.2756,408.7727,425.1798,481.433,427.5278,402.9534,421.0744,557.4801,495.1621,557.57,547.314,581.0691,563.9575,484.3065,534.9561,538.079,522.0188,535.7241,612.4697,555.9365,532.2685,593.3307,635.4857,639.2587,579.5443,637.8869,654.4841,674.8007,665.0677,704.6393,711.2698,730.3226,730.9257,729.6894,729.4764,740.3012,740.9026,743.2509,707.3657,704.9413,737.5373,706.7689,696.1736,667.1036,665.8449,654.0299,681.3761,695.9951,704.9578,704.6393,690.6229,726.1983,815.1627,888.4349,887.7,954.3446,966.8915,962.8785,945.4068,898.9243,882.4592,858.7445,821.3221,831.958,881.5918,861.0195,864.1706,896.4807,908.2869,931.1322,909.4955,791.8717,792.7287,695.7925,701.5729,647.5868,549.6983,500.319,510.7387,504.1808,512.246,460.5967,444.5392,454.6424,426.4067,454.0718,430.8889,432.3717,366.384,366.384,348.9269,339.4024,360.9483,364.1697,359.7014,335.5723,331.7742,315.018,315.018,245.3119,244.3623,238.7769,229.0024,212.0875,188.3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALGN UW Equity,4374.0251,4458.1095,4113.4505,4219.8968,4263.8965,4772.5396,4590.216,4388.616,4555.5174,3841.7718,3476.9152,3517.4275,3027.0798,2921.6545,2706.7188,2739.7207,2558.7318,2552.221,2258.4226,2229.1241,2162.3547,3007.6093,2761.9241,2729.0767,2688.8959,2509.6898,2516.7877,2186.6131,2032.6374,1850.5131,1863.473,1924.3452,1807.3414,1190.5067,1498.9241,1711.1937,1774.2254,1883.5134,1855.8373,1574.4634,1602.9083,1589.5644,1491.1228,1334.6847,1297.044,1491.2578,1220.5009,1313.0011,1125.3214,1129.1053,1283.8205,1455.8765,1362.5318,1396.1494,1326.9004,1218.1869,1047.8984,947.9081,893.2467,722.6587,702.1249,783.5979,819.7438,523.8169,452.4774,528.2815,586.607,469.2856,468.5726,732.2715,881.7009,696.3716,729.7641,916.2052,849.2332,768.3209,854.0741,807.2492,1143.032,1157.4227,1406.3083,1720.8594,1544.2216,1735.6213,1606.6135,1515.51,1491.88,1044.1843,1052.0737,1060.4032,895.0956,841.2746,876.7323,719.8567,395.3519,425.5021,465.1569,465.1569,550.9212,574.738,506.3574,507.5985,401.4868,429.4109,453.5792,413.0152,418.5467,400.7231,452.9646,446.8186,517.0023,383.1466,458.9593,525.0445,651.7585,640.8454,626.207,922.2595,924.6738,1024.1634,1132.6603,1136.2371,1030.3685,1130.9068,1155.3316,1220.9155,967.3633,1054.6133,899.6706,729.8884,645.8725,752.0409,726.0087,586.0134,433.3912,291.1817,226.6885,158.8264,132.8847,172.7838,84.9929,132.4833,144.0558,112.698,187.9899,184.6329,185.2605,255.0339,194.055,233.791,215.586,191.632,208.6487,104.3243,315.8443,356.5134,374.6736,477.9,418.1756,330.716,342.12,615.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV UN Equity,4553.6331,4559.6387,4427.0835,4683.6016,4644.3262,4630.5205,5204.6226,5073.127,5073.127,4677.0293,4643.3037,4874.5654,4527.6729,4999.832,4803.5005,5038.376,4599.9419,4209.7544,3703.886,3707.3745,3241.0569,3335.5015,3129.6887,3064.9924,3113.5146,2819.4111,3040.8865,3304.5071,3331.1003,2970.3567,2733.3291,2819.4153,3084.5789,2612.9163,2894.5559,3180.3352,3584.6956,3758.4392,4022.8999,3815.4404,3704.1958,3585.8508,3577.5669,3511.5615,3399.3145,3431.2163,3081.4131,3552.1023,3273.4829,3540.8684,4174.6475,3973.2598,3547.9167,3385.7395,3573.771,3540.2732,3334.7166,3287.7322,3347.188,3353.0459,3133.9614,3168.073,3199.637,2671.2351,2003.5435,2216.6372,2433.2053,2218.6169,2552.8018,4087.9641,4134.4639,4300.0278,4603.3682,4920.8281,4232.7217,3528.4248,3763.707,4401.8237,5366.0889,5171.1084,6183.4321,4938.8359,4827.1436,5263.4604,5555.1763,5518.7114,4830.1997,4504.1421,4382.8184,4336.7368,4173.6348,4033.2917,3943.4707,3666.5129,3378.1211,3167.3889,3192.9736,3392.5347,3679.7688,3538.8855,3650.7976,3733.7112,3544.5645,3560.1106,3249.1438,3240.0061,3337.9114,3232.5713,3145.738,3244.3276,3120.4678,3121.7998,3597.1768,3339.6638,3483.1331,3202.6123,2926.5881,2709.8784,2693.7764,2566.8411,2585.1082,2496.4797,2488.0952,2597.8142,2623.7107,2582.302,2527.0034,2507.0024,2405.6189,2309.063,2349.0649,2313.6956,2185.0801,2081.3579,2064.2473,1851.5883,1769.157,1924.2483,1956.5199,2160.8291,1991.7764,1917.5444,1998.714,1858.9034,2167.3313,2433.241,2545.3887,2783.6924,2661.7534,2739.1689,2439.3318,2214.9546,1945.33,2170.3237,2288.5925,2360.5,2418.4915,2486.5886,2239.7327,2153.0557,2127.9473,2114.73,2273.2505,1612.4219,1755.6014,1797.4539,1711.8781,1831.1573,1634.5675,1545.3517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCRN UW Equity,214.659,179.5047,220.5074,250.8583,323.287,335.7211,310.2312,237.4916,184.6447,188.3749,175.6301,174.289,159.4559,161.001,154.5115,164.0912,176.1431,174.598,148.331,123.9182,135.9701,145.8589,125.1543,140.1762,134.3355,139.5614,144.2289,156.7434,176.8133,192.7452,173.377,161.5061,156.124,130.5197,153.9383,214.9197,236.3805,238.5577,234.4208,247.374,258.7745,223.9394,263.4399,238.8687,226.9395,223.5198,230.3591,275.3635,278.7745,263.89,314.8935,317.7219,303.1533,279.4068,305.6204,262.445,254.47,286.8178,283.7371,256.9704,211.4236,238.8132,272.7118,202.7539,227.7343,230.504,270.5114,268.0494,347.1765,499.6029,480.5879,488.9696,441.7587,474.2545,369.6393,383.6259,346.5806,403.0675,454.4482,464.6606,502.6257,558.9352,546.1376,524.8877,534.8275,558.2342,632.1258,586.2458,609.6286,721.9538,698.2727,635.2298,621.063,545.3549,526.7487,573.5984,583.8699,565.8948,582.0216,622.3698,588.9173,635.5547,571.8706,594.3852,586.7093,599.3024,626.426,636.3248,548.0001,546.3883,519.2994,540.0793,490.1821,530.897,579.6267,569.0472,475.0405,496.5022,475.0405,476.8865,580.1266,530.9038,527.3189,531.1916,550.9582,589.9019,476.2628,475.6244,446.9163,453.3514,501.9362,483.8082,425.7125,409.8976,365.6622,371.1487,360.1108,468.8296,455.4438,548.4914,401.6177,459.5495,465.7333,923.1658,1218.8497,1176.9316,975.7247,870.588,866.0589,806.8192,853.1807,829.0341,632.4978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
